Id,Price
4567,161900.03514376617
5925,119020.88123062992
960,147070.14601194038
3848,145275.47192528372
746,164436.62957524226
868,333220.7744836394
672,115199.1021421598
2471,206914.64397215925
4510,142809.63946694013
8354,290464.5958283859
6393,159874.6696897876
13270,223539.15697126903
5250,304079.5207234048
16751,158326.3675009476
11404,132652.05726109052
10588,319421.5629919273
14925,203814.32649416174
6791,212601.21602526115
16097,183543.9463639562
16428,351172.8912970002
6945,422358.28932129923
3190,191091.3425674635
15709,418074.5744098749
13155,159001.84336243858
7675,183561.18458656757
14686,226054.2761958276
609,172835.8088061401
11155,186172.63105230042
10869,200387.0220486104
15742,181567.39578782007
9245,197859.56380175735
3340,133281.73194472483
2359,277533.54567427654
8070,209084.10342386528
13707,126557.08981877132
16079,430081.018715225
15937,276024.29225603957
14090,186505.82938428508
9008,209679.14812608363
16384,197430.98842778234
11657,265914.0176847491
13151,250755.5713050819
8990,174950.22730754103
11857,186094.77635380416
1565,152947.16657230517
8174,96759.8499457896
9247,248325.13217973558
10478,214143.0787877012
15509,125977.59592813284
8306,266990.99985671026
6642,182145.10908112762
7472,234286.99365171423
15989,134792.2162001552
13682,132741.00865962674
163,217348.36061184743
7076,186405.05682240683
7478,327108.75665976404
3029,190612.86305082578
1814,140564.4600366546
10057,139306.26362122904
15100,205131.96143367377
12694,219136.43238398363
6291,191151.69082580108
12603,172267.63982637544
3218,238664.581376111
13456,137047.64809187315
10170,225569.44423076772
4530,162053.85117316598
13329,167823.31241439588
4820,155411.93862855821
10896,176652.20580809013
13416,120039.61748414054
2701,217906.48045276065
11265,331254.00637565105
9189,263286.3870768864
1858,198871.55726337736
14536,236762.16751668585
6199,341675.85644104116
14730,150061.8599032069
7510,266459.2552365996
15505,168447.3948938734
7446,189288.90928736867
14016,202690.43123310324
14113,113942.27573582839
8721,307372.60323428817
6193,289677.02819367574
5717,178869.24599466502
5427,287759.7502924691
9520,429564.86910274555
6869,105902.36733837932
1658,165029.32130492377
6639,238706.43988212245
6283,202228.64930761606
6257,132652.05726109052
15235,186162.2720865387
902,202860.8466642607
8932,207061.46762465464
16469,405664.92992824997
2825,246301.295394486
6450,508615.7054065293
11366,183313.596455155
3801,358097.8477183011
11385,187055.09750138017
1079,195656.47071335776
3202,249828.0870962595
676,247395.61793835874
6185,324948.3316975599
7730,163524.2567268283
2573,185950.63377792807
10978,200657.27626577174
10962,251421.24880144637
8870,192044.77117417209
8496,189722.95228529512
5517,194077.35069685025
927,180871.80645359817
13675,198709.1432855851
1499,226572.58325870807
15536,325308.4971796485
8602,314128.50287253404
12137,351141.1222018931
9865,263582.7163937565
16353,292594.23842105066
15908,205527.28224314563
3944,176543.8666860258
10359,195835.78673332094
15158,212207.86379191163
3259,246415.88839279243
7220,340162.8941085983
13843,187456.76718528353
16736,192785.02327033135
702,246974.10049240958
16401,131474.93583983651
12134,191923.5193808924
6918,176091.33274838614
11792,146080.13520060253
3798,118604.41652760727
10395,133214.48367688415
11099,158897.37982424194
7090,187336.6602742797
11260,188195.51177943058
